1,1
1,2
1,3
1,5
1,9
1,10
1,12
1,13
1,14
1,15
1,19
1,20
1,23
1,24
1,26
1,27
2,2
2,3
2,4
2,7
2,12
2,13
2,14
2,15
2,16
2,18
2,19
2,20
2,21
2,24
2,25
2,26
2,27
2,28
2,29
2,30
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,20
3,22
3,29
3,30
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,14
4,15
4,16
4,17
4,18
4,19
4,21
4,22
4,23
4,25
4,26
4,27
4,28
4,29
4,30
5,16
5,17
5,18
5,19
5,20
5,21
5,22
5,23
5,24
5,25
5,26
5,27
5,28
5,29
5,30
6,15
6,17
6,18
6,19
6,20
6,21
6,22
6,23
6,24
6,25
6,26
6,27
6,28
6,29
6,30
7,15
7,16
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,25
7,26
7,27
7,28
7,30
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,24
8,25
8,26
8,27
8,28
8,29
8,30
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,27
9,28
9,29
9,30
